"";"t_n";"x";"x_diff"
"793";3929;3;-0,0600000000000001
"794";3931;2,89;-0,11
"795";3935;2,86;-0,0300000000000002
"796";3938;2,74;-0,12
"797";3941;2,73;-0,0100000000000002
"798";3944;3,11;0,38
"799";3947;3,03;-0,0800000000000001
"800";3949;3,1;0,0700000000000003
"801";3952;3,03;-0,0700000000000003
"802";3954;2,78;-0,25
"803";3956;2,88;0,1
"804";3959;3,05;0,17
"805";3961;3,02;-0,0299999999999998
"806";3964;3,02;0
"807";3966;3,04;0,02
"808";3970;3,11;0,0699999999999998
"809";3973;3,02;-0,0899999999999999
"810";3977;3,24;0,22
"811";3980;3,07;-0,17
"812";3982;3,38;0,31
"813";3984;3,23;-0,15
"814";3987;3,16;-0,0699999999999998
"815";3988;3,32;0,16
"816";3990;3,19;-0,13
"817";3992;3,39;0,2
"818";3994;3,66;0,27
"819";3996;3,55;-0,11
"820";3999;3,38;-0,17
"821";4001;3,44;0,0600000000000001
